CONDITION,CODE_TYPE,CODE,CODE_DESCRIPTION
RHEUMATOID_ARTHRITIS,icd_10_cm,M05872,Other rheumatoid arthritis with rheumatoid factor of left ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M05879,Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot
RHEUMATOID_ARTHRITIS,icd_10_cm,M0589,Other rheumatoid arthritis with rheumatoid factor of multiple sites
RHEUMATOID_ARTHRITIS,icd_10_cm,M058A,Other rheumatoid arthritis with rheumatoid factor of other specified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M059,"Rheumatoid arthritis with rheumatoid factor, unspecified"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0600,"Rheumatoid arthritis without rheumatoid factor, unspecified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06011,"Rheumatoid arthritis without rheumatoid factor, right shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06012,"Rheumatoid arthritis without rheumatoid factor, left shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06019,"Rheumatoid arthritis without rheumatoid factor, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06021,"Rheumatoid arthritis without rheumatoid factor, right elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06022,"Rheumatoid arthritis without rheumatoid factor, left elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06029,"Rheumatoid arthritis without rheumatoid factor, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06032,"Rheumatoid arthritis without rheumatoid factor, left wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06039,"Rheumatoid arthritis without rheumatoid factor, unspecified wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06041,"Rheumatoid arthritis without rheumatoid factor, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06042,"Rheumatoid arthritis without rheumatoid factor, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06049,"Rheumatoid arthritis without rheumatoid factor, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06051,"Rheumatoid arthritis without rheumatoid factor, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06052,"Rheumatoid arthritis without rheumatoid factor, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06059,"Rheumatoid arthritis without rheumatoid factor, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06061,"Rheumatoid arthritis without rheumatoid factor, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06062,"Rheumatoid arthritis without rheumatoid factor, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06069,"Rheumatoid arthritis without rheumatoid factor, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06071,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06079,"Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0608,"Rheumatoid arthritis without rheumatoid factor, vertebrae"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0609,"Rheumatoid arthritis without rheumatoid factor, multiple sites"
RHEUMATOID_ARTHRITIS,icd_10_cm,M060A,"Rheumatoid arthritis without rheumatoid factor, other specified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M061,Adult-onset Still's disease
RHEUMATOID_ARTHRITIS,icd_10_cm,M0620,"Rheumatoid bursitis, unspecified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06211,"Rheumatoid bursitis, right shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06212,"Rheumatoid bursitis, left shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06219,"Rheumatoid bursitis, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06221,"Rheumatoid bursitis, right elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06222,"Rheumatoid bursitis, left elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06229,"Rheumatoid bursitis, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06231,"Rheumatoid bursitis, right wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06232,"Rheumatoid bursitis, left wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06239,"Rheumatoid bursitis, unspecified wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06241,"Rheumatoid bursitis, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06242,"Rheumatoid bursitis, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06249,"Rheumatoid bursitis, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06251,"Rheumatoid bursitis, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06252,"Rheumatoid bursitis, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06259,"Rheumatoid bursitis, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06261,"Rheumatoid bursitis, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06262,"Rheumatoid bursitis, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06269,"Rheumatoid bursitis, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06271,"Rheumatoid bursitis, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06272,"Rheumatoid bursitis, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06279,"Rheumatoid bursitis, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0628,"Rheumatoid bursitis, vertebrae"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0629,"Rheumatoid bursitis, multiple sites"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0630,"Rheumatoid nodule, unspecified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06311,"Rheumatoid nodule, right shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06312,"Rheumatoid nodule, left shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06319,"Rheumatoid nodule, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06321,"Rheumatoid nodule, right elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06322,"Rheumatoid nodule, left elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06329,"Rheumatoid nodule, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06331,"Rheumatoid nodule, right wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06332,"Rheumatoid nodule, left wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06339,"Rheumatoid nodule, unspecified wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06341,"Rheumatoid nodule, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06342,"Rheumatoid nodule, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06349,"Rheumatoid nodule, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06351,"Rheumatoid nodule, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06352,"Rheumatoid nodule, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06359,"Rheumatoid nodule, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06361,"Rheumatoid nodule, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06362,"Rheumatoid nodule, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06369,"Rheumatoid nodule, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06371,"Rheumatoid nodule, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06372,"Rheumatoid nodule, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06379,"Rheumatoid nodule, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0638,"Rheumatoid nodule, vertebrae"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0639,"Rheumatoid nodule, multiple sites"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0680,"Other specified rheumatoid arthritis, unspecified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06811,"Other specified rheumatoid arthritis, right shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06812,"Other specified rheumatoid arthritis, left shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06819,"Other specified rheumatoid arthritis, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06821,"Other specified rheumatoid arthritis, right elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06822,"Other specified rheumatoid arthritis, left elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06829,"Other specified rheumatoid arthritis, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06831,"Other specified rheumatoid arthritis, right wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06832,"Other specified rheumatoid arthritis, left wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06839,"Other specified rheumatoid arthritis, unspecified wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06841,"Other specified rheumatoid arthritis, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06842,"Other specified rheumatoid arthritis, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06849,"Other specified rheumatoid arthritis, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06851,"Other specified rheumatoid arthritis, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06852,"Other specified rheumatoid arthritis, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06859,"Other specified rheumatoid arthritis, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06861,"Other specified rheumatoid arthritis, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06862,"Other specified rheumatoid arthritis, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06869,"Other specified rheumatoid arthritis, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06871,"Other specified rheumatoid arthritis, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06872,"Other specified rheumatoid arthritis, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M06879,"Other specified rheumatoid arthritis, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0688,"Other specified rheumatoid arthritis, vertebrae"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0689,"Other specified rheumatoid arthritis, multiple sites"
RHEUMATOID_ARTHRITIS,icd_10_cm,M068A,"Other specified rheumatoid arthritis, other specified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M069,"Rheumatoid arthritis, unspecified"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0800,Unspecified juvenile rheumatoid arthritis of unspecified site
RHEUMATOID_ARTHRITIS,icd_10_cm,M08011,"Unspecified juvenile rheumatoid arthritis, right shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08012,"Unspecified juvenile rheumatoid arthritis, left shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08019,"Unspecified juvenile rheumatoid arthritis, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08021,"Unspecified juvenile rheumatoid arthritis, right elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08022,"Unspecified juvenile rheumatoid arthritis, left elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08029,"Unspecified juvenile rheumatoid arthritis, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08031,"Unspecified juvenile rheumatoid arthritis, right wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08032,"Unspecified juvenile rheumatoid arthritis, left wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08039,"Unspecified juvenile rheumatoid arthritis, unspecified wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08041,"Unspecified juvenile rheumatoid arthritis, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08042,"Unspecified juvenile rheumatoid arthritis, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08049,"Unspecified juvenile rheumatoid arthritis, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08051,"Unspecified juvenile rheumatoid arthritis, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08052,"Unspecified juvenile rheumatoid arthritis, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08059,"Unspecified juvenile rheumatoid arthritis, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08061,"Unspecified juvenile rheumatoid arthritis, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08062,"Unspecified juvenile rheumatoid arthritis, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08069,"Unspecified juvenile rheumatoid arthritis, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0808,"Unspecified juvenile rheumatoid arthritis, vertebrae"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0809,"Unspecified juvenile rheumatoid arthritis, multiple sites"
RHEUMATOID_ARTHRITIS,icd_10_cm,M080A,"Unspecified juvenile rheumatoid arthritis, other specified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M081,Juvenile ankylosing spondylitis
RHEUMATOID_ARTHRITIS,icd_10_cm,M0820,"Juvenile rheumatoid arthritis with systemic onset, unspecified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08211,"Juvenile rheumatoid arthritis with systemic onset, right shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08212,"Juvenile rheumatoid arthritis with systemic onset, left shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08219,"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08221,"Juvenile rheumatoid arthritis with systemic onset, right elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08222,"Juvenile rheumatoid arthritis with systemic onset, left elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08229,"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08231,"Juvenile rheumatoid arthritis with systemic onset, right wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08232,"Juvenile rheumatoid arthritis with systemic onset, left wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08239,"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08241,"Juvenile rheumatoid arthritis with systemic onset, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08242,"Juvenile rheumatoid arthritis with systemic onset, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08249,"Juvenile rheumatoid arthritis with systemic onset, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08251,"Juvenile rheumatoid arthritis with systemic onset, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08252,"Juvenile rheumatoid arthritis with systemic onset, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08259,"Juvenile rheumatoid arthritis with systemic onset, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08261,"Juvenile rheumatoid arthritis with systemic onset, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08262,"Juvenile rheumatoid arthritis with systemic onset, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08269,"Juvenile rheumatoid arthritis with systemic onset, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0828,"Juvenile rheumatoid arthritis with systemic onset, vertebrae"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0829,"Juvenile rheumatoid arthritis with systemic onset, multiple sites"
RHEUMATOID_ARTHRITIS,icd_10_cm,M082A,"Juvenile rheumatoid arthritis with systemic onset, other specified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M083,Juvenile rheumatoid polyarthritis (seronegative)
RHEUMATOID_ARTHRITIS,icd_10_cm,M0840,"Pauciarticular juvenile rheumatoid arthritis, unspecified site"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08411,"Pauciarticular juvenile rheumatoid arthritis, right shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08412,"Pauciarticular juvenile rheumatoid arthritis, left shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08419,"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08421,"Pauciarticular juvenile rheumatoid arthritis, right elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08422,"Pauciarticular juvenile rheumatoid arthritis, left elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08429,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08431,"Pauciarticular juvenile rheumatoid arthritis, right wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08432,"Pauciarticular juvenile rheumatoid arthritis, left wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08439,"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08441,"Pauciarticular juvenile rheumatoid arthritis, right hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08442,"Pauciarticular juvenile rheumatoid arthritis, left hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08449,"Pauciarticular juvenile rheumatoid arthritis, unspecified hand"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08451,"Pauciarticular juvenile rheumatoid arthritis, right hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08452,"Pauciarticular juvenile rheumatoid arthritis, left hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08459,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08461,"Pauciarticular juvenile rheumatoid arthritis, right knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08462,"Pauciarticular juvenile rheumatoid arthritis, left knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M08479,"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot"
RHEUMATOID_ARTHRITIS,icd_10_cm,M0848,"Pauciarticular juvenile rheumatoid arthritis, vertebrae"
RHEUMATOID_ARTHRITIS,icd_10_cm,M084A,"Pauciarticular juvenile rheumatoid arthritis, other specified site"
TYPE_1_DIABETES,icd_10_cm,E1010,Type 1 diabetes mellitus with ketoacidosis without coma
TYPE_1_DIABETES,icd_10_cm,E1011,Type 1 diabetes mellitus with ketoacidosis with coma
TYPE_1_DIABETES,icd_10_cm,E1021,Type 1 diabetes mellitus with diabetic nephropathy
TYPE_1_DIABETES,icd_10_cm,E1022,Type 1 diabetes mellitus with diabetic chronic kidney disease
TYPE_1_DIABETES,icd_10_cm,E1029,Type 1 diabetes mellitus with other diabetic kidney complication
TYPE_1_DIABETES,icd_10_cm,E10311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
TYPE_1_DIABETES,icd_10_cm,E10319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema
TYPE_1_DIABETES,icd_10_cm,E10321,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
TYPE_1_DIABETES,icd_10_cm,E103211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
TYPE_1_DIABETES,icd_10_cm,E103212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"
TYPE_1_DIABETES,icd_10_cm,E103213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
TYPE_1_DIABETES,icd_10_cm,E103219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E10329,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
TYPE_1_DIABETES,icd_10_cm,E103291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"
TYPE_1_DIABETES,icd_10_cm,E103292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye"
TYPE_1_DIABETES,icd_10_cm,E103293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
TYPE_1_DIABETES,icd_10_cm,E103299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E10331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
TYPE_1_DIABETES,icd_10_cm,E103311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
TYPE_1_DIABETES,icd_10_cm,E103312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
TYPE_1_DIABETES,icd_10_cm,E103313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
TYPE_1_DIABETES,icd_10_cm,E103319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E10339,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
TYPE_1_DIABETES,icd_10_cm,E103391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
TYPE_1_DIABETES,icd_10_cm,E103392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
TYPE_1_DIABETES,icd_10_cm,E103393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
TYPE_1_DIABETES,icd_10_cm,E103399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E10341,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
TYPE_1_DIABETES,icd_10_cm,E103411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"
TYPE_1_DIABETES,icd_10_cm,E103412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye"
TYPE_1_DIABETES,icd_10_cm,E103413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral"
TYPE_1_DIABETES,icd_10_cm,E103419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E10349,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
TYPE_1_DIABETES,icd_10_cm,E103491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"
TYPE_1_DIABETES,icd_10_cm,E103492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"
TYPE_1_DIABETES,icd_10_cm,E103493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
TYPE_1_DIABETES,icd_10_cm,E103499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E10351,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema
TYPE_1_DIABETES,icd_10_cm,E103511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"
TYPE_1_DIABETES,icd_10_cm,E103512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"
TYPE_1_DIABETES,icd_10_cm,E103513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
TYPE_1_DIABETES,icd_10_cm,E103519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E10359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
TYPE_1_DIABETES,icd_10_cm,E1036,Type 1 diabetes mellitus with diabetic cataract
TYPE_1_DIABETES,icd_10_cm,E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye"
TYPE_1_DIABETES,icd_10_cm,E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye"
TYPE_1_DIABETES,icd_10_cm,E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral"
TYPE_1_DIABETES,icd_10_cm,E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye"
TYPE_1_DIABETES,icd_10_cm,E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication
TYPE_1_DIABETES,icd_10_cm,E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified"
TYPE_1_DIABETES,icd_10_cm,E1041,Type 1 diabetes mellitus with diabetic mononeuropathy
TYPE_1_DIABETES,icd_10_cm,E1042,Type 1 diabetes mellitus with diabetic polyneuropathy
TYPE_1_DIABETES,icd_10_cm,E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy
TYPE_1_DIABETES,icd_10_cm,E1044,Type 1 diabetes mellitus with diabetic amyotrophy
TYPE_1_DIABETES,icd_10_cm,E1049,Type 1 diabetes mellitus with other diabetic neurological complication
TYPE_1_DIABETES,icd_10_cm,E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
TYPE_1_DIABETES,icd_10_cm,E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
TYPE_1_DIABETES,icd_10_cm,E1059,Type 1 diabetes mellitus with other circulatory complications
TYPE_1_DIABETES,icd_10_cm,E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy
TYPE_1_DIABETES,icd_10_cm,E10618,Type 1 diabetes mellitus with other diabetic arthropathy
TYPE_1_DIABETES,icd_10_cm,E10620,Type 1 diabetes mellitus with diabetic dermatitis
TYPE_1_DIABETES,icd_10_cm,E10621,Type 1 diabetes mellitus with foot ulcer
TYPE_1_DIABETES,icd_10_cm,E10622,Type 1 diabetes mellitus with other skin ulcer
